bug,nloc,CCN,function_numbers,token_count,parameter_count
f8585ce655e9,122,8,1,779,1
10f0577aa5cb,6,0,0,79,0
9dfd87da1aeb,42,6,2,300,2
5a0722b898f8,22,0,0,137,0
cfa636886033,572,1,1,2548,3
1a1c851bbd70,121,0,0,728,0
cf1facda2f61,122,5,3,567,5
928cfe8745a6,218,0,0,1258,0
ba2bbfbf6307,307,9,4,1906,6
0a59952b24e2,72,3,1,602,2
d85d20053e19,584,2,2,5841,2
95ae251fe828,471,8,3,3154,4
73d7ee2e831f106c,7,0,0,29,0
d54f063cdbe4,192,27,13,1089,16
86ce2bc73c7a,108,0,0,627,0
7e027ca4b534b,123,16,3,741,5
0fe4e304782c,23,0,0,136,0
93012bf98416,359,5,2,3166,0
fafc4e1ea1a4,65,2,2,539,2
6912daed05e1,28,0,0,249,0
013a53f2d25a,20,0,0,83,0
8a8f181d2cfd,40,0,0,326,0
d4ca1d550d05,60,0,0,427,0
b701a99e431d,22,4,1,171,1
b840d649f9ec,53,0,0,506,0
bfd56cd60521,33,3,2,292,10
747668dbc061,7,0,0,75,0
594fbe713bf60,832,128,39,5117,96
b4c001dc44f0,31,0,0,171,0
ff8c0c53c475,9,0,0,72,0
bbf8ff6b1d2a,120,3,1,2244,3
274e4c336192,66,0,0,322,0
6561859b067f,48,0,0,348,0
5b74283ab251b9d,19,0,0,109,0
e6023367d779,91,0,0,661,0
c1340e8aa628,42,0,0,419,0
fb56be83e43d,7,0,0,69,0
00fab2350e6b,743,66,25,5069,56
15917b1602242,67,7,1,445,2
d850c2ee5fe2,14,0,0,95,0
73c7da3dae1e,140,2,1,997,1
9465a7a6f,6,0,0,26,0
e58e87adc8bf,17,0,0,167,0
985538eee06f,8,0,0,61,0
0357e488b8,341,8,6,2102,15
3d3d18f086cd,7,0,0,28,0
96049bd1ecd0,66,0,0,509,0
682d055e6ac5,92,0,0,322,0
bbe3f233ec5e,140,8,3,883,6
181bf1e815a2,150,0,0,1059,0
26a8145390b3,297,13,8,1863,31
06635a35d13d42b9,514,0,0,4311,0
6ed151f26484,29,3,2,169,2
877ccce7cbe8,96,12,2,563,2
5369c02d951a,115,17,4,651,7
c3acd5901414,38,0,0,235,0
e6d5e7d90be92cee,44,0,0,349,0
b51642f6d77b,131,0,0,1180,0
86080ccc22,22,0,0,135,0
e1f7c9eee70,1038,140,37,6741,63
2d2a3ad872f8,511,21,11,2339,14
fab4c256a58b,55,4,2,584,4
80ad623edd2d,5,0,0,26,0
95711cd5f0b4,375,5,1,2476,2
0ed881027690,6,0,0,45,0
06c2d368fc36,18,0,0,106,0
bbceefce9adf,98,7,2,637,1
9533b292a7ac,61,0,0,282,0
345309fa7c0c,74,0,0,537,0
4773be185a0f,121,8,4,677,8
32f139551954,47,1,1,308,2
440ea4ae1828,289,0,0,681,0
0b764a6e4e19d,4,0,0,42,0
26a4f3c08de4,10,0,0,92,0
dbc7f069b93a,88,12,4,598,7
032dc41ba6e2,62,10,3,433,4
88e70da170e8,17,4,1,122,6
6ca5274d1d12,202,0,0,1315,0
0ec5f02f0e2c,174,17,6,1304,7
5bc2b7b397b0,113,13,3,865,4
99e3a44bac37,177,0,0,1223,0
a68c31fc01ef,123,16,5,806,12
09ca4c9b5958,235,3,3,1461,3
b66255f0f779,39,0,0,260,0
50b4d485528d,127,3,3,905,3
0071f56e46da,21,0,0,134,0
f09e2249c4f5,57,0,0,403,0
11105693fa05,551,72,27,3155,40
f4524cc45626,9,0,0,69,0
2993e0515bb4,452,12,1,2897,3
5df7fd46b70b,15,0,0,85,0
240524089d7a,17,1,1,87,1
2d8b1d566a5f,37,4,3,233,6
9520ed8fb841,63,3,1,499,1
6559c901cb48,59,4,3,390,5
38320c70d282,1060,12,8,7867,18
fe8e81b7e899,547,96,25,2927,54
75ee94b20b46,11,0,0,85,0
800fb34a99ce,15,0,0,122,0
484bfa1507bf,27,0,0,195,0
5fe156f1cab4,20,0,0,130,0
671cc68dc61f,148,7,1,939,1
66a733ea6b61,43,0,0,275,0
c43a102e67db,417,61,16,2444,37
039ae8bcf7a5,52,1,1,350,1
5f6b6ccdbe1c,566,91,27,3692,71
fb84b8224655,366,0,0,2188,0
95a7233c4,112,0,0,734,0
721cabf6c660,540,79,19,3170,25
4ac8918f3a7,138,0,0,862,0
d4b90dbc8578,51,0,0,339,0
ffcc393641,197,14,3,1255,0
0bb9d159bd01,136,12,1,359,1
c794f6a09a25,11,0,0,52,0
a1cba5613edf,658,33,15,4107,32
da6612673988,26,5,2,178,3
bc6134942dbb,15,0,0,120,0
3ffe64f1a641,137,0,0,922,0
30861ddc9cca4,148,30,7,1002,13
e3861d9118c8,669,66,21,3904,41
4aece6a19cf7f,165,0,0,1097,0
f24fcff1d267,129,14,8,718,8
ba6b918ab234,66,2,1,614,3
b5f5f525c547,2640,5,3,14947,3
ba94c753ccb4,1242,4,3,7195,4
f4d15fb6f99a,43,0,0,404,0
397d425dc26d,49,9,4,334,4
8796c8923d9c,157,1,1,1132,1
27450653f1db,334,45,7,1766,13
f8d1a31163fc,57,0,0,481,0
002bb86d8d42f,244,13,6,1379,6
6a14ee0cfb19,1107,160,29,6234,70
a5f3ea54f3cc,57,0,0,412,0
82da3ff89dc2,269,37,14,1501,30
23c42a403a9c,281,7,4,2054,5
98d8fc6c5d36,475,5,5,2769,7
3f04d98e972b5,71,10,1,399,1
8a3d03166f19,203,5,1,1388,2
1e77d0a1ed74,58,0,0,376,0
b3af341bbd96,532,75,14,3223,36
a8ba798bc8ec,438,0,0,626,0
f92d9597f781f6a5a39c73dc71604bd8a21c5299,44,0,0,350,0
23312a3be999,336,12,1,1994,1
624e8e00acaf,226,23,4,1310,7
b5451d783ade,169,0,0,779,0
0f97da831026,32,4,1,212,1
4046bf023b06,10,0,0,53,0
f07fed82ad79,32,0,0,231,0
e40526cb20b5,138,0,0,931,0
eed0eabd12ef,486,46,13,2216,14
1c51089f777b,52,0,0,217,0
c0452137034b,462,68,20,3009,41
53fa1f6e8a59,32,8,1,185,1
942c9b6ca8de,256,15,5,1838,5
1b375dc30710,245,48,24,1334,36
2f664823a470,251,39,9,1351,11
7d7080335f8d,84,0,0,517,0
28e64a68a2ef,843,131,28,4877,42
05b125004815,49,6,2,340,2
20c466b56168d,33,4,3,267,3
e9868505987a,15,0,0,101,0
c04d2cb2009f,179,24,6,1468,3
6071bd1aa13e,69,13,3,464,4
519049afea,91,6,2,703,6
4d5422a309de,12,0,0,69,0
2cbbb579bcbe,296,0,0,1695,0
e476fe8af5ff,36,1,1,259,1
61dd72613177,541,60,23,3448,41
8ffb055beae5,209,0,0,1913,0
0f519f0352e3,81,0,0,520,0
cd8c5c269b1d,48,1,1,279,1
5188d5453bc9,264,0,0,1905,0
794b1248be4e,202,32,6,1341,21
2a07d814747b,63,2,2,290,3
5f4a4a73f437,11,2,1,77,1
91269e390d062,14,0,0,140,0
f2ab6219969f,254,4,1,1392,1
f50169324df4,30,0,0,111,0
26cae166cff9,55,1,1,320,1
36cf515b9bbe,419,22,10,2802,16
90634e854079,63,0,0,426,0
1f52aa08d12f,804,5,3,4401,4
37bf241b8e7b,33,2,1,196,1
90001d67be2f,147,17,4,978,14
b12f7bad5ad3,5,0,0,42,0
ac6c35a4d8c7,47,4,4,278,7
8c8cb30f49b8,47,7,2,249,3
3713b4e364ef,925,0,0,6060,0
ed1f2e85da79,108,0,0,921,0
1159d4b496f5,119,0,0,705,0
d3d73f4b38a8,4,0,0,54,0
76ae281f6307,19,0,0,150,0
a1b7c5fd7fe9,166,6,1,1140,11
b1d40991506aa,79,0,0,706,0
dab5ca8fd9dd,75,0,0,376,0
8556e8f3b6,29,0,0,206,0
7b9584fa1c0b,192,0,0,872,0
a371c10ea4b3,27,0,0,173,0
1cf1cae963c2,244,0,0,1591,0
34666d467cbf1e2e3c7,244,37,13,1466,23
f962396ce292,84,0,0,117,0
c42843f2f0bb,86,9,4,510,13
9b07e27f88b9,1032,0,0,6328,0
5da083d1922c,125,0,0,907,0
d6c4f0298cec,918,19,6,5350,12
f05499a06fb4,266,0,0,1376,0
a09f99eddef4,34,2,2,252,2
8aa428cc1e2e,285,0,0,826,0
4ab39e2f98f2,57,0,0,394,0
97f68c6b02e0,135,0,0,969,0
accd58833237,327,0,0,2440,0
eb9fecb9e69b,1258,53,14,8130,18
e6047149db,279,0,0,2535,0
09ae5d37e093,258,0,0,1459,0
a9fd053b56c6,177,1,1,1025,1
d0f6dd8a914f,317,46,11,1880,29
b2ddc48a81b5,9,0,0,69,0
ef51042472f5,154,20,7,839,14
5e94846686d0,77,0,0,674,0
9163e0184bd7,10,0,0,66,0
b83ce5ee9147,0,0,0,0,0
133add5b5ad4,976,97,43,6073,78
08737a3fa30a,48,0,0,269,0
2152caea7196,39,10,1,288,1
c876ad768215,25,0,0,247,0
c9475369bd2b,130,0,0,846,0
9c5681011a0c,684,86,29,4133,63
8d860bbeedef,109,3,2,716,2
3f9cd874dcc87,9,0,0,54,0
aaafb7c8eb1c,105,9,2,595,4
e181ae0c5db9,22,1,1,136,1
2a485ad7c88d,515,67,6,3036,8
7bc5f447ce9d0,146,8,1,1049,4
db05c48197759,27,0,0,230,0
52775b33bb507,82,5,2,552,3
e651901187ab,75,0,0,452,0
5f195ee7d830,286,0,0,2344,0
aa94f2888825,117,0,0,739,0
eadf6f9170d5,86,0,0,487,0
f5b65348fd77,32,0,0,291,0
82d354370189,192,0,0,1100,0
6691dffab0ab,84,15,3,517,12
937b10c0de68,37,0,0,342,0
38bb8d77d0b9,61,0,0,518,0
f63a8daa5812,119,6,4,784,5
58e9cc90cda7,15,0,0,122,0
7f94ffbc4c6a,192,0,0,1513,0
97e1c18e8d17b,463,0,0,2715,0
2d253440b5af,16,0,0,63,0
76f0c53d08b9,28,0,0,205,0
