bug,nloc,CCN,function_numbers,token_count,parameter_count
5130c6e55531,241,0,0,1084,0
31847b67bec0,281,0,0,1941,0
f632a8170a6b,0,0,0,0,0
84d043185dbe,616,99,29,4154,48
bf7696a12071,26,1,1,139,1
01412261d994,206,24,5,1671,14
73d58118498b,95,17,3,742,3
46d075be585e,4,0,0,23,0
7dbe8c62ceeb,865,0,0,3801,0
c7ab0b8088d7,79,3,1,593,2
cd21379b1698,12,0,0,159,0
3bd4f9112f87,6,0,0,62,0
43b169db1841,500,51,18,3192,31
c6cd0eefb27b,79,0,0,516,0
fdbe574eb693,157,27,8,1012,13
882981f4a411,173,0,0,1353,0
a57500903093,140,0,0,1089,0
836e9494f448,16,0,0,158,0
99691c4ac112,173,0,0,1244,0
5f852be9e11d,87,5,3,548,5
9169051617df,54,0,0,401,0
7ebc194d0fd4bb0f,32,0,0,223,0
dcab8ecd5617,142,0,0,786,0
33023fb85a42,275,0,0,2690,0
f2467b6f64da,7,0,0,52,0
be40364544bd,18,2,1,141,1
90120d15f4c3,38,5,4,291,4
64aba9bca5bd,34,0,0,275,0
aef9a7bd9b67,255,1,1,1743,1
588bff95c94e,126,7,2,988,7
90db024f140d,6,0,0,33,0
88a172526c32,393,64,15,2316,39
687b81d083c0,623,0,0,3001,0
dc12b124353b,68,11,2,492,6
109bade9c625,239,0,0,1814,0
722ccf416ac2,19,0,0,166,0
582ab27a063a,15,0,0,136,0
95d6ebd53c79,13,0,0,70,0
e7f063ae1a31,9,0,0,76,0
687937ab3489,132,21,4,741,6
d7b9eaff5f0c,53,0,0,245,0
a50fe0ffd76f,8,0,0,62,0
a43c0eb8364c022,291,22,3,1874,10
4e6da0fe8058,244,5,2,1649,4
2650d71e244f,993,3,3,5370,10
96d4f267e40f,3365,0,0,28421,0
db288c9c5f9d,29,3,2,202,2
f68d2b1b73cc,158,44,3,1169,3
c338412b5ded,11,1,1,50,1
d3ba5a9a345b,358,6,2,2104,3
779d986d60de,219,3,2,1885,2
5f597bb2be57,497,2,2,4489,2
c877154d307f,34,0,0,215,0
1e941d39493f,89,22,3,564,3
7ee0d4e97b88,439,4,2,3361,2
ec776ef6bbe1,122,15,1,874,1
3adcc300603e,36,16,1,241,2
8069e69a9792,44,0,0,271,0
9abf0c2b717a,28,3,2,168,2
d99b601b6338,113,0,0,738,0
f6bc11e42646,138,16,6,843,6
5700f69178e9,82,9,2,547,3
ede9622162fa,519,24,10,3426,18
72ea403669c7,15,1,1,94,1
e38e486d66e2,47,3,2,314,2
a8613e7070e7,10,0,0,198,0
09c9bae26b0d3c9472cb6ae45010460a2cee8b8d,5,0,0,75,0
e82b9b0727ff,112,0,0,870,0
1bc9e47aa8e4,5,0,0,20,0
8924feff66f3,151,0,0,1008,0
023a019a9b4e,57,0,0,590,0
4562fa4c86c9,12,0,0,48,0
e509bd7da149,39,1,1,249,2
ff740aefecb9,141,0,0,1182,0
c053b5a506d3,43,6,3,262,5
1511cc750c3d,176,15,8,681,13
06d392cbe3db,77,7,5,405,0
